Sample,Sex,Diet,Coat.Color,BMC1,BMC2,BMD1,BMD2,BW.11,BW.12,BW.13,BW.14,BW.15,BW.16,BW.17,BW.18,BW.19,BW.20,BW.21,Calcium2,CHCM1,CHCM2,cHGB1,cHGB2,CHOL1,CHOL2,ct.EOS1,ct.EOS2,ct.LYM1,ct.LYM2,ct.MONO1,ct.MONO2,ct.NEUT1,ct.NEUT2,GLDH1,GLDH2,Glucose2,HCT1,HCT2,HDLD1,HDLD2,HDW1,HDW2,HR,HRV,INSULIN,Length1,Length2,LEPTIN,LTM1,LTM2,MCH1,MCH2,MCHC1,MCHC2,MCV1,MCV2,mHGB1,mHGB2,MPV1,MPV2,perc.EOS1,perc.EOS2,perc.Fat1,perc.Fat2,perc.LYM1,perc.LYM2,perc.MONO1,perc.MONO2,perc.NEUT1,perc.NEUT2,Phosphorus2,PLT1,PLT2,pNN50...6ms.,PQ,PR,QRS,QTC,QTc.dispersion,RBC1,RBC2,RDW1,RDW2,Retic1,Retic2,rMSSD,RR,ST,T.Area1,T.Area2,TG1,TG2,TTM1,TTM2,urine.creatinine2,urine.Glucose2,urine.microalbumin2,WBC1,WBC2
F01,F,hf,agouti,0.4528,0.4987,0.0525,0.0553,30.22,31.94,30.61,33.87,35.17,36.45,34.63,36.42,36.78,35.46,36.31,9.5,28,27.5,14.6,15.6,96,101,0.15345,0.26235,4.2174,4.0095,0.099,0.09405,0.46035,0.5544,8.2,16.6,210,52.1,56.8,78.2,82.8,1.49,1.48,820,6.8,0.735896348,9.1,8.9,17.47991675,19,18.2,14.4,14.2,29.5,28.3,48.9,50.3,15.4,16.1,6.4,6.1,3.1,5.3,38.12,46.48,85.2,81,2,1.9,9.3,11.2,5.8,1214,1219,0,17.5,23.9,10.3,44.7,22.4,10.66,11.29,12.3,12,2.84,0,1.06,73.2,28.4,25.97,27.31,111,96,30.71,34.03,22.86,14,0.11,4.95,5.76
F02,F,hf,black,0.4539,0.551,0.0519,0.0551,30.47,32.48,32.37,33.53,33.58,35.69,35.62,37.23,37.65,35.76,35.63,10.5,30.5,28.4,16.3,15.5,118,125,0.28509,0.25155,4.80181,4.66765,0.07267,0.12298,0.40807,0.50869,8.9,24.2,179,53.4,54.7,95.3,113.6,1.84,1.63,783,8.4,4.122334576,9.2,9.1,32.47373962,19.8,18.4,14.7,13.7,31.4,28.9,46.9,47.6,16.7,15.8,6.6,6.1,5.1,4.5,36.69,46.1,85.9,83.5,1.3,2.2,7.3,9.1,6.7,1171,1222,0,20.1,27.1,10.1,41.1,25.9,11.37,11.49,13.1,12.3,4.93,0,0.73,76.6,26.4,26.22,26.14,117,127,31.34,34.23,78.3,82,0,5.59,5.14
F03,F,hf,white,0.6764,0.8205,0.0618,0.0658,21.48,22.82,22.33,22.78,21.41,23.6,23.12,23.67,24.37,24.12,24,8.3,28.4,27.6,16.5,16,96,97,0.2616,0.12426,5.3955,5.57208,0.07194,0.0654,0.76518,0.7521,8,9.1,145,58.3,58.2,78.6,65.6,1.7,1.51,779,14.7,0.635474868,9,9.2,0.902815531,18.2,17.1,14.4,14.2,29.4,28.5,48.9,49.8,17.2,16.6,7.4,7.4,4,1.9,16,19.08,82.5,85.2,1.1,1,11.7,11.5,4.3,1062,992,0,23.8,30.6,10.2,46.7,30.2,11.92,11.69,14.7,12.8,3.91,0,1.78,77.1,31.3,18.61,19.85,76,121,21.69,21.14,60.46,93,0,6.54,4.89
F04,F,hf,agouti,0.4992,0.525,0.0516,0.0553,19.72,19.92,19.29,19.38,17.96,20.27,19.8,21.24,21.51,21.09,20.55,9.6,29.7,27.2,16.3,16.5,82,102,0.38528,0.25284,5.09292,4.62336,0.07224,0.04816,0.42742,1.04146,14.2,8.2,216,54.9,60.5,65.9,75.5,1.67,1.55,741,20.8,0.391325864,8.7,8.1,1.509661976,14.5,14.6,14.6,14,30.9,27.9,47.2,50.1,16.9,16.9,6.6,6.2,6.4,4.2,23.59,24.6,84.6,76.8,1.2,0.8,7.1,17.3,4.9,1177,1280,0,20.9,27.7,10,44,24.4,11.64,12.08,14,13.4,3.35,0,0.9,81.1,30.2,18.37,17.87,57,73,19,19.27,NA,NA,0,6.02,6.11
F05,F,hf,agouti,0.4793,0.4823,0.0534,0.0573,29.24,32.22,33.76,33.31,33.07,35.25,35.06,37.46,39.35,39.38,39.02,8.2,29.3,27.4,16.9,16.6,112,114,0.3102,0.23124,4.29768,4.3428,0.06204,0.20868,0.91932,0.8178,9.7,21,159,57.6,60.8,94,93.2,1.69,1.47,754,4.4,1.493564261,9.1,9.5,10.029733,22.5,23.6,14.2,13.9,30,28.1,47.3,49.6,17.3,17.1,7.1,5.9,5.5,4.1,29.07,39.89,76.2,77,1.1,3.7,16.3,14.5,4.4,1462,1746,0,23.7,31.2,11.6,44.3,23.9,12.18,12.26,14.4,12.2,3.28,0,0.66,79.6,28.4,25.29,28.28,83,62,31.84,39.23,87.88,109,0.7,5.64,4.78
F06,F,hf,agouti,0.4287,0.496,0.0522,0.0564,25.14,27.5,28.55,31.02,30.59,33.78,34.03,37.45,37.57,35.3,35.76,10.1,30.7,28.4,16.2,16.6,124,144,0.1656,0.31395,2.9739,2.64615,0.05175,0.1104,0.2415,0.3519,11.6,10.8,198,52.9,58.6,105.2,131.8,1.81,1.44,795,53,0.315926102,8.8,9.1,53.58187481,18.2,19,15.8,15,30.7,29.3,51.4,51.2,16.2,17.1,6,6.9,4.8,9.1,31.61,43.97,86.2,76.7,1.5,3.2,7,10.2,4.5,1187,1002,4.69,20.6,27.3,10.1,43.2,64,10.28,11.44,13.7,12,5.54,0,13.58,76.1,27.9,23.51,27.51,80,62,26.58,33.86,37.16,65,0,3.45,5.11
F07,F,hf,white,0.4699,0.4725,0.0568,0.0553,24.68,27.56,28.05,27.73,27.54,27.64,29.85,32.66,31.39,31.46,32.89,9.3,28.8,28.7,14.9,15.6,106,102,0.1742,0.1139,5.6213,5.6213,0.1005,0.1206,0.7638,0.7839,11.9,6,213,51.7,54.5,75,78.1,2.22,1.66,817,4.2,0.917857964,8.9,9,8.717730659,18.8,21.5,15.5,15.1,30,29.8,51.5,50.8,15.5,16.2,7.5,7.6,2.6,1.7,28.84,29.88,83.9,83.9,1.5,1.8,11.4,11.7,4.9,1270,1387,0,22.6,29.6,10.3,47.8,25.3,10.05,10.73,15,14.9,7.74,2.64,0.53,73.4,31.2,21.22,23.72,117,157,26.36,30.6,45.06,117,0.07,6.7,8.85
F08,F,hf,agouti,0.5412,0.5771,0.0561,0.0574,33.7,36.44,35.66,37.96,40.22,43.48,46.82,49.15,49.73,48.49,47.04,8.8,29.1,28.4,16.6,15.1,78,98,0.48816,0.15368,3.65668,3.73352,0.08588,0.12656,0.2712,0.452,8.8,7.9,203,57.1,53.4,71.2,91,1.58,1.59,777,84.3,1.598754315,9.3,10,116.1529966,20.2,21.8,15.2,14.6,30.1,28.9,50.6,50.5,17.2,15.5,6.8,5.9,10.8,3.4,42.95,51.71,80.9,82.6,1.9,2.8,6,10,4.7,1048,1220,14.1,21.3,27.7,10.1,45.1,56.2,11.27,10.56,12.8,13.5,4.84,2.71,19.89,78.7,30.2,27.91,34.07,47,62,35.36,45.13,103.68,101,0,4.52,5.3
F09,F,hf,agouti,0.617,0.6717,0.0589,0.0617,19.76,19.39,19.49,20.21,20.67,20.81,21.06,21.28,21.45,21.25,21.68,10.4,29.4,NA,15.2,NA,83,85,0.15548,NA,2.49106,NA,0.04056,NA,0.66924,NA,13.2,9.7,148,51.6,NA,69.1,69.2,1.95,NA,NA,NA,0.419182345,8.5,9,1.093408909,14.5,16,14.8,NA,30.1,NA,49.2,NA,15.5,NA,6.5,NA,4.6,NA,18.27,17.21,73.7,NA,1.2,NA,19.8,NA,5.5,1375,NA,NA,NA,NA,NA,NA,NA,10.47,NA,17.1,NA,6.2,NA,NA,NA,NA,17.61,19.92,55,54,17.74,19.3,77.55,157,0,3.38,NA
F10,F,hf,black,0.3653,0.3979,0.0487,0.0516,22.47,23.16,23.49,24.91,24.8,26.26,27.07,27.77,27.47,27.95,27.87,8.3,30.7,29.6,15.5,15.5,99,81,0.14712,0.15938,5.41892,4.9653,0.07356,0.1226,0.45362,0.85207,9.8,9.8,164,50.5,52.3,82.5,72.7,2.01,1.68,806,4.7,0.251365782,8.5,8.9,21.7421198,15,16.9,15.5,15,31.1,29.7,50,50.4,15.7,15.5,6.5,5.6,2.4,2.6,32.22,37.12,88.4,81,1.2,2,7.4,13.9,4.2,1234,1313,0,19.7,26.7,10.9,42.8,25.7,10.11,10.37,14.5,13.1,7.31,3.71,0.65,74.5,26.5,19.37,23.37,67,61,22.08,26.89,79.75,108,0,6.13,5.52
F11,F,hf,agouti,0.4434,0.5071,0.0533,0.0556,21.78,24.29,22.07,23.76,25.15,24.25,24.43,24.24,24.05,23.26,22.39,9.6,29.9,29.2,16.1,16,98,107,0.20288,0.40259,2.33946,2.41237,0.13631,0.0317,0.48184,0.29798,12.1,7.5,173,53.7,55,77.6,79.1,1.69,1.45,NA,NA,0.159637365,8.6,8.1,5.276716414,16.2,16,13.7,14,30.9,29.8,44.5,47,16.6,16.4,7.5,7.1,6.4,12.7,30.59,28.68,73.8,76.1,4.3,1,15.2,9.4,5.3,1085,941,NA,NA,NA,NA,NA,NA,12.08,11.69,12.8,12.5,3.61,2.72,NA,NA,NA,21.44,19,63,83,23.37,22.48,34.02,40,0.05,3.17,7.24
F12,F,hf,black,0.4147,0.4764,0.0506,0.0557,18.63,18.78,18.79,20.24,21.5,21.44,21.51,23.47,23.7,22.97,22.44,9.5,29.4,28.6,15.6,16.1,81,91,0.48375,0.74175,5.30835,5.0826,0.16125,0.1419,0.44505,0.4257,7.5,5.2,150,53.1,56.2,69.5,78.6,1.69,1.51,801,35.9,1.255505337,8.1,8,7.172612047,13.9,16.4,15.2,15.2,30.3,29.5,50.2,51.6,16.1,16.6,7,7.2,7.5,11.5,26.3,29.24,82.3,78.8,2.5,2.2,6.9,6.6,6.3,1195,1230,4.76,22.4,29.5,11.6,43.9,26.8,10.57,10.89,15.5,12.6,4.79,2.39,2.17,75.1,27,17.85,21.4,86,95,18.84,23.16,96.18,117,0,6.45,5.88
F13,F,hf,agouti,0.4969,0.5353,0.0569,0.0594,24.38,25.43,24.74,27.14,26.35,29.08,28.24,29.6,30.4,29.72,31.1,8.8,29.7,27.7,16.5,16.2,145,139,0.17306,0.21378,9.09074,8.82606,0.23414,0.14252,0.60062,0.88566,9.9,9.7,165,55.4,58.5,115.2,113.9,1.73,1.55,822,16.5,0.046539447,8.8,8.8,7.169401324,17.2,19,14.4,14,30.9,28.3,46.6,49.6,17.1,16.5,6.4,6,1.7,2.1,29.13,31.73,89.3,86.7,2.3,1.4,5.9,8.7,5.4,1376,1301,1.41,19.6,26.3,10.5,43.3,23.7,11.9,11.79,12.5,12.4,3.83,3.99,1.11,73,27,21.71,23.71,165,98,24.23,27.79,46.75,45,0.08,10.18,10.38
F14,F,hf,agouti,0.6056,0.6459,0.0611,0.0619,23.54,24.3,23.79,25.18,26.36,26.37,26.72,27.98,28.72,27.79,28.06,7.7,29.5,28.4,16.3,16.3,81,106,0.348,0.54375,5.7855,5.58975,0.145,0.10875,0.93525,0.97875,7.8,8.8,149,55.2,57.4,61.4,77.3,1.58,1.42,816,8.4,0.254583546,9,8.9,3.91180835,18.8,20,15.1,14.9,30.8,29.4,49.2,50.7,17,16.8,6.9,6.4,4.8,7.5,19.29,20.92,79.8,77.1,2,1.5,12.9,13.5,5.4,1083,857,0,22.9,29.7,10.3,41.6,27.7,11.24,11.32,12.5,12.4,2.03,1.97,0.75,73.6,25.8,20.32,21.84,73,82,23.32,25.32,47.07,46,0,7.25,2.71
F15,F,hf,agouti,0.5312,0.5526,0.0561,0.057,33.03,33.9,32.52,34.03,36,37.91,38.01,40.4,40.79,40.15,39.44,9,30.9,29.7,17,16.4,135,127,0.5715,0.4191,6.03504,6.4389,0.28956,0.13716,0.67056,0.57912,6.2,6.2,207,55,55,114,108.1,1.97,1.71,NA,NA,0.624820745,9.3,9.5,14.46019495,22.4,22.8,16.2,15.4,31.4,30,51.7,51.3,17.2,16.5,6.7,6.2,7.5,5.5,32.23,40.01,79.2,84.5,3.8,1.8,8.8,7.6,5.6,1717,1871,NA,NA,NA,NA,NA,NA,10.65,10.73,14.1,12,4.94,1.83,NA,NA,NA,27.81,30.28,77,95,33.02,38.04,48.68,61,0.32,7.62,6.42
F16,F,hf,agouti,0.4028,0.5021,0.0513,0.0515,29.59,31.47,32.72,33.23,35.79,36.23,37.65,39.82,40.57,39.59,38.96,9.2,28.6,28.9,17.1,16.4,109,103,0.18995,0.24235,5.08935,5.50855,0.1441,0.1179,1.09385,0.63535,5.9,10.9,224,59.8,56.8,95.6,102.4,1.67,1.62,NA,NA,2.992039922,8.9,9.4,37.70824886,18.7,19.9,14.7,14.5,29.7,29.2,49.5,49.5,17.8,16.6,7.1,6.3,2.9,3.7,39.18,44.16,77.7,84.1,2.2,1.8,16.7,9.7,5.4,1059,1524,NA,NA,NA,NA,NA,NA,12.09,11.47,13.2,12.6,3.84,2.47,NA,NA,NA,26.23,30.84,66,56,30.75,35.67,94.4,127,0.2,6.55,5.37
F17,F,hf,agouti,0.4905,0.5242,0.0583,0.0622,31.77,32.01,32.87,34.54,36.13,36.08,37.4,39.12,40.13,39.39,39.73,8.7,29.9,29.5,16,16.2,118,115,0.23352,0.278,9.41864,8.9516,0.3892,0.5004,0.96744,1.26768,25.2,34.3,145,53.4,55.1,88.7,85.3,1.76,1.55,852,5.1,8.724374147,8.8,9.3,40.98848997,19.7,21.2,15.7,14.9,30.8,30,50.9,49.6,16.4,16.5,7.5,7.1,2.1,2.5,37.74,42.85,84.7,80.5,3.5,4.5,8.7,11.4,5,1338,1613,0,20.9,27.7,11.3,40.9,24,10.5,11.1,13.1,11.5,3.19,1.71,0.67,70.4,23.5,25.73,27.35,58,50,31.58,37.22,101.22,156,0.09,11.12,7.39
F18,F,hf,white,0.4645,0.5329,0.0543,0.0585,18.89,18.52,20.08,22.05,24.3,25.51,26.48,26.35,26.87,25.3,25.2,10,29.9,28.9,16.4,16.2,137,126,0.46812,0.29382,4.01886,3.65034,0.05478,0.16932,0.41334,0.81174,90.6,64.2,133,54.7,56,110,106.1,1.58,1.56,849,11.2,1.246181349,8.4,8.8,18.99645852,13.6,15.6,14.6,13.5,31,29.4,47,45.9,17,16.5,7.9,7.8,9.4,5.9,21.23,29.72,80.7,73.3,1.1,3.4,8.3,16.3,5.4,1056,1268,0,21.8,28.3,9.9,40.9,27.8,11.65,12.21,13.4,11.8,3.96,2.22,1.28,70.7,25,16.76,20.7,62,62,17.16,22.18,91.85,100,0,4.98,3.36
F19,F,hf,agouti,0.4392,0.5311,0.0544,0.0564,24.69,26.86,26.8,27.18,27.71,27.77,29.23,30.83,31.51,30.85,30.34,9.5,28.9,27.9,16.3,16.4,111,113,0.42912,0.1341,7.52748,7.67052,0.1341,0.24138,0.77778,0.81354,43.9,36,219,56.5,58.7,94.7,105.9,1.67,1.44,798,11.2,NA,8.7,9,NA,16.8,18,14.7,14.1,29.8,28.9,49.4,48.7,16.8,16.9,6.2,6.1,4.8,1.5,33.51,36.49,84.2,85.8,1.5,2.7,8.7,9.1,3.6,1022,1225,0,23.5,30.6,10.7,45.4,28.7,11.44,12.04,13.2,12.8,4.74,1.78,0.64,75.2,29.2,22.42,25.5,61,64,25.32,28.29,39.76,83,0,8.94,6.38
F20,F,hf,abouti,0.4182,0.4725,0.0547,0.0542,23.64,25.41,26.28,26.6,27.57,26.28,29.87,31.72,32.44,30.77,31.24,9.6,28.2,27.7,15.1,14.8,131,127,0.38843,0.7518,11.41483,10.34978,0.13783,0.22554,0.47614,1.09011,19.6,48.4,232,53.7,53.4,113.1,116.5,1.68,1.52,673,22.6,0.833232322,8.5,9,34.49047615,16.6,18.7,13.4,12.8,29.6,28.4,45.2,45.2,15.9,15.1,8.2,7.4,3.1,6,33.54,37.62,91.1,82.6,1.1,1.8,3.8,8.7,3.6,1447,1239,4.11,20.1,28.1,12.2,52.7,38.4,11.86,11.82,12.5,12.2,4.03,2.78,2.8,89.3,38.1,21.05,25.39,70,78,25.01,29.87,122.97,138,0,12.53,8.49
F21,F,hf,abouti,0.4488,0.517,0.0557,0.0535,25.25,29.18,27.5,27.17,28.55,28.93,30.34,32.22,26.52,33.54,32.65,9.8,30.4,28.5,15.6,15.5,134,115,0.3724,0.30324,4.41028,4.44752,0.05852,0.06916,0.4522,0.47348,16.5,19.6,160,51.4,54.4,112.3,97.6,1.85,1.63,835,142.1,1.908013024,8.9,9.1,32.4515163,18,17.8,14.1,14.2,31.1,29.6,45.4,47.8,16,16.1,7.5,7.3,7,5.7,35.98,45.89,82.9,83.6,1.1,1.3,8.5,8.9,6.1,1221,1570,9.09,15.5,23,12.2,44.3,26.8,11.31,11.38,13.7,12.7,2.97,3.14,9.05,73.2,25.7,23.28,27.38,226,59,28.16,32.9,106.91,111,0.06,5.32,4.95
F22,F,hf,abouti,0.4451,0.4847,0.0546,0.0558,25.8,25.3,26.34,27.45,29.7,30.54,30.2,31.25,32.18,32.19,31.22,11.6,30.2,29,15.6,15.3,88,149,0.1116,0.2511,4.68162,4.45842,0.15066,0.10044,0.60264,0.73098,4.5,62.3,157,51.5,52.7,76.7,130.8,1.66,1.52,870,82.3,1.036205099,8.7,8.9,12.88053893,16,17.3,15,15.2,30.8,29.6,48.8,51.3,15.9,15.6,7.5,7.8,2,4.5,35.29,44.11,83.9,79.9,2.7,1.8,10.8,13.1,7.2,1467,1977,1.72,21.1,27.6,10.2,42,41.3,10.54,10.27,13.3,13.1,3.54,3.54,6,69.4,25.2,22.43,25.92,95,84,24.79,31.02,81.25,119,0,5.58,4.57
F23,F,hf,white,0.3869,0.4384,0.0529,0.0503,29.79,29.64,28.59,29.43,31.83,32.07,32.84,32.71,32.52,33.23,34.82,9.1,29,26.6,14.6,15.7,123,145,0.17808,0.24168,11.52432,11.6388,0.10176,0.10176,0.80136,0.62328,7.9,23.9,158,50.2,58.8,109.8,119.2,1.79,1.43,829,9.8,2.751209275,8.5,9,37.24538245,16.7,18.5,15.3,14.7,30.1,27.9,50.6,52.8,15.1,16.4,6.4,6.8,1.4,1.9,41.46,44.2,90.6,91.5,0.8,0.8,6.3,4.9,4.5,1484,850,0,20.9,27.6,9.7,45.4,20.1,9.91,11.13,12.7,12.3,4.79,3.53,0.57,72.4,29.5,23.47,27.16,69,99,28.55,33.15,43.21,91,0.03,12.72,8.75
F24,F,hf,agouti,0.3754,0.4247,0.0502,0.0533,21.24,20.73,22.51,23.17,24.37,24.59,24.83,25.44,26.49,26.67,27.33,8.2,30.6,29.9,16.4,16.5,101,88,0.2494,0.3016,4.1586,4.5994,0.1276,0.0464,1.2122,0.8236,21,33.2,164,53.8,55.3,89.1,80.5,1.87,1.63,NA,NA,0.594260926,8.4,8.4,6.55100945,14.2,17.5,15,15,31.3,30.5,47.8,49.2,16.8,16.9,6.6,6.3,4.3,5.2,29.53,34.08,71.7,79.3,2.2,0.8,20.9,14.2,5.4,1109,910,NA,NA,NA,NA,NA,NA,11.26,11.23,14.4,12.9,4.77,3.65,NA,NA,NA,18.76,22.54,89,110,20.12,26.46,83.12,121,0,5.8,4.46
F25,F,hf,agouti,0.4721,0.4793,0.0558,0.0564,24.77,28.26,26.73,28.62,29.83,30.61,31.58,33,34.89,33.97,36.53,8.8,29.3,30.6,16.5,14.7,98,99,0.79716,1.46292,6.81528,6.0444,0.21024,0.10512,0.86724,1.10376,13.9,6.3,172,56.3,48.2,81.4,85.9,1.78,1.74,764,7,5.453941343,8.9,9.1,12.45584103,17.9,19.8,14.4,13.8,30.5,30.6,47.4,45.2,17.1,14.7,7.7,5.5,9.1,16.7,32.67,37.14,77.8,69,2.4,1.2,9.9,12.6,5.7,1238,1328,0,22,30,11.4,52.1,23.1,11.87,10.66,13.4,13,3.62,2.37,0.53,78.6,35.2,22.31,26.12,66,56,26.62,31.4,71.32,116,0,8.76,4.53
F26,F,chow,agouti,0.5548,0.6141,0.0544,0.0567,27.3,27.03,21.18,25.61,27.11,26.7,26.73,27.63,27.6,27.85,28.29,10.2,30.2,28.3,17.4,16.1,NA,75,0.38586,0.0885,2.30808,2.82492,0.09558,0.07788,0.73632,0.51684,NA,7,126,57.8,56.7,NA,60,1.44,1.49,754,10.7,0.459518168,8.7,9.1,4.545344626,17.9,20.6,14.9,15.1,31.2,29.7,47.6,50.8,18,16.8,6.9,6.4,10.9,2.5,27.44,24.66,65.2,79.8,2.7,2.2,20.8,14.6,7,962,1111,0,22.7,30.2,11,48.3,23.3,12.12,11.16,13.1,12.4,2.89,2.9,0.65,79.6,32.6,22.59,23.89,NA,110,24.57,27.32,56.09,136,0,3.54,7.87
F27,F,chow,agouti,0.5761,0.7462,0.0558,0.0616,20.29,24.8,28.17,27.25,29.28,21.21,22.13,22.67,23.03,22.9,22.13,9.6,28.3,29.3,14.8,16.3,NA,69,0.0399,0.36575,5.3067,5.30005,0.1596,0.1596,1.0773,0.80465,NA,5.7,151,52.3,55.7,NA,59.2,1.5,1.51,709,17.4,0.130437779,9.1,8.8,1.138716061,15.9,16.2,14,15.1,29.8,31.2,46.9,48.4,15.6,17.4,6.9,6.1,0.6,5.5,17.03,19.19,79.8,79.7,2.4,2.4,16.2,12.1,6.5,1733,885,1.45,25.6,32.6,10,50.1,16.6,11.14,11.51,12.9,13.1,3.53,3.67,1.05,84.7,36.7,18.87,19.06,NA,69,19.2,20,41.31,71,0.05,6.65,4.66
F28,F,chow,agouti,0.5878,0.669,0.0562,0.0571,24.92,27.02,26.34,25.62,27.41,26.67,26.28,27.52,28.72,28,28.6,10,28.9,29.4,14.5,17.1,NA,88,0.18054,0.28084,8.48538,8.33493,0.2006,0.21063,1.08324,1.14342,NA,6.5,140,50.3,58.1,NA,67.2,1.63,1.56,693,45.5,0.263068525,9.1,9.2,2.782638133,18.1,20.5,14.8,16.4,30.9,31.4,47.9,52.3,15.5,18.2,6.8,6.2,1.8,2.8,20.14,20.65,84.6,83.1,2,2.1,10.8,11.4,5.8,1522,935,1.61,22.8,30.4,11.2,46.9,72.2,10.49,11.1,12.5,13.1,1.93,4.61,15.23,87.2,33,21.96,24.15,NA,110,22.63,25.9,48.54,96,0,10.03,7.56
F29,F,chow,agouti,0.641,0.6465,0.0613,0.0618,28.91,28.07,26.2,25.91,25.14,28.11,29.75,31.71,32.57,34.24,34.99,9.8,30.9,29.2,18,15,NA,68,0.7337,0.10672,11.43238,10.11172,0.10672,0.50692,0.89378,2.42788,NA,5.5,184,58.1,51.4,NA,50.4,1.55,1.63,694,63.5,1.679759183,9.3,9.5,7.909099821,20.5,23.8,16,13.7,32.6,29.3,49.2,46.9,19,15,6.3,6.4,5.5,0.8,21.51,29.73,85.7,75.8,0.8,3.8,6.7,18.2,8.1,1495,1312,48.94,22.6,30.3,10.9,48.9,27.1,11.81,10.96,11.6,13.3,2.18,4.34,4.55,87.2,35.2,22.63,26.81,NA,209,26.07,33.85,45.62,86,0,13.34,6.71
F30,F,chow,agouti,0.512,0.5428,0.0552,0.0564,27.4,23.55,24.15,22.25,22.66,26.42,26.87,27.4,28.61,27.76,29.78,9.7,30,27.9,16.2,13.3,NA,93,0.6424,0.25696,10.02144,9.78784,0.1168,0.36208,0.79424,1.168,NA,9.9,172,54.1,47.8,NA,74,1.48,1.62,714,21.8,0.882070154,9.1,9.2,9.045820014,19,21.2,15.9,15.7,31.5,31.3,50.5,50.3,17,14.9,6,6.7,5.5,2.2,24.77,23.41,85.8,83.8,1,3.1,6.8,10,5.6,1238,776,0,21.8,29.1,10.3,45.9,36.6,10.7,9.51,11.6,13.5,2.25,3.19,3.04,84.1,32.3,22.23,22.73,NA,114,25.18,27.73,59.87,108,0,11.68,7.71
F31,F,chow,agouti,0.5688,0.5632,0.0509,0.0522,22.16,22.72,23.07,23.02,24.77,24.41,27.56,29.05,28.16,27.73,29.07,9.6,30.3,28.6,14.5,15.6,NA,78,0.14544,0.22422,4.89042,4.8177,0.05454,0.07878,0.89082,0.89082,NA,11.6,186,47.9,54.6,NA,66.7,2.13,1.66,730,15.1,0.239708091,8.8,8.3,3.222604432,17.1,21,13.1,12.5,30.8,28.1,42.6,44.6,14.8,15.3,7.2,7,2.4,3.7,19.24,22.95,80.7,79.5,0.9,1.3,14.7,14.7,5.5,1096,1169,0,21.2,28.6,12.5,46.8,26.3,11.24,12.23,14.6,13.3,5.01,3.94,1.52,82.2,30.4,20.56,23.96,NA,115,21.17,27.26,58.28,106,0,6.06,5.19
F32,F,chow,agouti,0.675,0.661,0.0587,0.0618,23.55,24.82,24.08,24.06,25.99,25.44,28.54,29.59,29.16,29.38,30.58,9.6,30.8,29,16.7,16.3,NA,73,0.03817,0.04511,2.7066,2.61985,0.04511,0.05552,0.64889,0.68359,NA,3.9,165,54.1,56.2,NA,61,1.64,1.71,694,7.7,0.356259578,8.5,9.5,5.96466357,18.5,21.2,15.5,15.2,31.3,29.3,49.5,51.9,16.9,16.4,7,6.6,1.1,1.3,18.7,26.37,78,75.5,1.3,1.6,18.7,19.7,6.9,953,966,0,22.8,30,11,44.1,30.7,10.94,10.81,12,13.1,2.28,3.91,1.05,86.5,30.5,20.53,23.79,NA,104,22.67,28.84,102.78,190,0,3.47,2.73
F33,F,chow,white,0.5029,0.5328,0.0546,0.0581,21.69,21.6,21.87,21.71,24.29,24.53,24.84,26.64,26.48,26.3,26.71,8.8,29.8,28.4,16.1,16.4,NA,62,2.34792,0.46741,7.33725,9.15254,0.08696,0.20653,1.02178,0.9783,NA,5.8,146,54,57.6,NA,48.4,1.59,1.41,745,14.5,0.601840039,9.1,8.8,5.979672532,16.1,18.4,13.8,14,30.6,29,45.1,48.2,16.5,16.7,7,6.9,21.6,4.3,20.52,27.41,67.5,84.2,0.8,1.9,9.4,9,5.6,1299,914,0,22.8,30.8,11.6,51,26.1,11.99,11.94,12.3,12.4,0.98,2.31,1.12,80.5,34.6,18.58,22.03,NA,153,20.29,25.44,130.86,194,0,10.87,4.8
F34,F,chow,buff,0.4452,0.5417,0.0489,0.0531,22.95,23.98,24.76,24.73,25.47,25.69,26.77,27.52,28.53,28.07,29.08,9.8,29.2,28.2,15.8,17,NA,119,0.31075,0.34804,9.62082,10.25475,0.2486,0.34804,2.1131,1.39216,NA,8.5,74,54,60.2,NA,97.4,1.62,1.58,842,11.3,0.706725426,8.4,9.2,4.976420501,17.1,21.2,14.6,14.8,30.4,28.9,48,51.3,16.5,17.4,6.6,9.7,2.5,2.8,26.52,23.33,77.4,82.5,2,2.8,17,11.2,6.5,1272,540,0,18.8,25.4,10.2,41,26.6,11.25,11.74,13,13.4,4.06,4.66,0.54,71.3,24.9,20.94,23.76,NA,135,23.3,27.66,45.62,128,0,12.43,12.73
F35,F,chow,agouti,0.6361,0.7051,0.0584,0.0626,26.25,26.6,25.49,26.1,27.56,27.56,29.26,31.51,30.89,32.68,32.48,9.6,29.3,27.8,16.1,15.4,NA,104,0.3654,0.50112,8.091,8.12232,0.3132,0.34452,1.55556,1.34676,NA,10.3,175,54.8,55.6,NA,76.5,1.65,1.57,NA,NA,0.62691383,9.1,9.5,4.937137736,18.5,23.4,14.5,14.3,30.6,28.6,47.5,50.2,16.8,15.9,7.6,7.3,3.5,4.8,21.17,23.93,77.5,77.8,3,3.3,14.9,12.9,4.5,1425,1140,NA,NA,NA,NA,NA,NA,11.55,11.08,12.7,13.7,2.73,4.07,NA,NA,NA,21.74,26.89,NA,114,23.45,30.66,80.94,159,0,10.44,6.27
