Sample,Sex,Diet,Coat.Color,BMC1,BMC2,BMD1,BMD2,BW.11,BW.12,BW.13,BW.14,BW.15,BW.16,BW.17,BW.18,BW.19,BW.20,BW.21,Calcium2,CHCM1,CHCM2,cHGB1,cHGB2,CHOL1,CHOL2,ct.EOS1,ct.EOS2,ct.LYM1,ct.LYM2,ct.MONO1,ct.MONO2,ct.NEUT1,ct.NEUT2,GLDH1,GLDH2,Glucose2,HCT1,HCT2,HDLD1,HDLD2,HDW1,HDW2,HR,HRV,INSULIN,Length1,Length2,LEPTIN,LTM1,LTM2,MCH1,MCH2,MCHC1,MCHC2,MCV1,MCV2,mHGB1,mHGB2,MPV1,MPV2,perc.EOS1,perc.EOS2,perc.Fat1,perc.Fat2,perc.LYM1,perc.LYM2,perc.MONO1,perc.MONO2,perc.NEUT1,perc.NEUT2,Phosphorus2,PLT1,PLT2,pNN50...6ms.,PQ,PR,QRS,QTC,QTc.dispersion,RBC1,RBC2,RDW1,RDW2,Retic1,Retic2,rMSSD,RR,ST,T.Area1,T.Area2,TG1,TG2,TTM1,TTM2,urine.creatinine2,urine.Glucose2,urine.microalbumin2,WBC1,WBC2
M52,M,chow,white,0.568,0.5899,0.0546,0.0549,34.32,36.2,37,38.67,40.12,39.86,41.07,39.32,40.07,43.77,45,9.9,28.8,28.3,14.9,15.8,83,105,0.6048,0.54432,8.74944,8.49744,0.11088,0.27216,0.53424,0.68544,14.6,12.6,171,51.7,55.8,62.7,75.3,1.43,1.41,852,8.6,0.859125711,9.1,10,8.298566518,24.7,30.6,14.1,14.3,29.3,28.7,48.2,49.8,15.2,16,7.3,7.2,6,5.4,28.32,29.62,86.8,84.3,1.1,2.7,5.3,6.8,5.7,1644,1506,0,21.1,27.6,11.2,45.1,20.9,10.75,11.21,11.8,11.3,3.74,2,0.91,70.4,27.2,26.93,31.14,186,291,34.42,43.38,90.01,125,0,10.08,8.72
M53,M,chow,white,0.6133,0.7045,0.0564,0.0611,37.82,36.64,37.73,37.46,39.11,38.15,38.45,37.95,38.7,42.77,42.63,10.4,29.2,28.5,15.9,16.3,83,92,0.1624,0.6496,9.0596,8.5144,0.2552,0.3016,1.972,2.0068,12.6,9,196,54.6,57.4,58.6,63.2,1.46,1.45,816,19.2,0.444523358,9.4,9.7,1.818654222,27.6,32.6,14.6,14.4,29.8,28.6,49,50.3,16.3,16.4,6.8,7.1,1.4,5.6,22.27,23.07,78.1,73.4,2.2,2.6,17,17.3,7.1,1368,1828,0,21.9,28.5,9.6,42.9,30,11.14,11.41,12,12.1,3.85,3,0.69,73.6,27.7,26.18,29.8,195,296,35.45,42.42,103.02,NA,0.7,11.6,7.94
M54,M,chow,agouti,0.5031,0.6272,0.0478,0.0527,24.44,25.14,25.65,26.81,27.3,27.64,26.82,26.02,26.04,25.59,25.69,9.6,28.3,27.5,15.5,14.5,94,91,0.41002,0.73372,7.70406,8.17882,0.38844,0.38844,2.20116,1.44586,12.8,15.5,210,54.7,52.7,66.7,65.1,1.55,1.44,663,59.4,0.271008286,8.5,8.9,1.58404783,18.2,19.7,13.9,14,28.6,27.9,48.6,50.1,15.6,14.7,6.2,6.5,3.8,6.8,20.43,16.95,71.4,75.8,3.6,3.6,20.4,13.4,7.5,1830,1697,23.26,20.8,28,10.5,47.3,74,11.25,10.5,13.9,12.7,2.71,1.46,20.05,91.7,35,21.83,21.04,247,173,22.94,23.68,94.85,116,0,10.79,5.1
M55,M,chow,agouti,0.587,0.6439,0.0508,0.0515,31.68,32.1,29.9,25.73,29.21,30.37,31.29,30.55,32.05,33.6,34.27,10.1,27.2,27.6,16.1,13.8,93,123,0.13496,0.2892,7.52884,8.44464,0.22172,0.1928,1.67736,0.63624,10.2,6.7,202,59.2,49.9,74.9,86,1.45,1.48,862,139.1,1.299847563,9.3,9.3,0.719040592,24.2,25.9,13.7,13.4,28,28.1,48.8,47.5,16.6,14,6.3,7.3,1.4,3,21.76,18.41,78.1,87.6,2.3,2,17.4,6.6,8.5,1265,1524,47.37,17.7,24.1,9.8,44.7,62.5,12.13,10.5,11.7,12.2,2.95,1.71,26.8,72.2,28.4,26.51,26.14,150,138,30.9,31.72,82.16,127,0,9.64,6.86
M56,M,chow,agouti,0.7418,0.8022,0.0594,0.0661,27.93,28.74,29.47,30.6,30.24,30.31,30.95,31.02,31.43,33.13,33.81,9.5,27.9,28.2,13.3,16.2,98,124,0.29253,0.3582,4.75809,4.20288,0.26268,0.39402,0.62088,0.93729,19.2,13.5,149,47.5,57.4,62,81,1.67,1.54,807,5.5,1.986368538,9.4,9.4,1.860705975,22.9,26.1,13.7,13.7,27,28.1,50.7,48.9,12.8,16.1,5.6,6.7,4.9,6,17.24,18.39,79.7,70.4,4.4,6.6,10.4,15.7,4.5,1004,1548,0,21.5,28.4,9.9,40.8,25.8,9.37,11.74,12.8,12.6,5.43,2.72,0.8,74.4,25.9,23.1,25.55,149,302,27.55,31.96,108.91,131,0,5.97,8.42
M57,M,chow,agouti,0.5783,0.7357,0.0541,0.0551,31.4,31.55,30.16,31.67,33.07,34.28,35.85,36.13,36.17,36.69,36.46,8.9,27.2,26.9,12.6,15.2,140,86,0.10512,0.23652,5.77503,4.44132,0.1971,0.15768,0.44676,1.65564,12.7,17,160,46.5,56.5,91.9,66.2,1.96,1.59,840,7.4,0.849938246,8.9,9.8,1.322226952,25.2,29.8,13.6,13.2,27.1,27.2,50.3,48.4,12.6,15.4,6.5,6.8,1.6,3.6,21.4,13.48,87.9,67.6,3,2.4,6.8,25.2,5.1,1190,1619,0,22.7,28.4,8.7,40.9,22.5,9.25,11.69,18.3,12.6,9.55,2.07,0.69,71.4,26.4,23.57,28.01,189,102,32.13,34.4,111,147,0,6.57,16.14
M58,M,chow,agouti,0.6206,0.6713,0.0521,0.0544,27.33,28.88,28.62,30,29.84,30.76,31.15,31.9,31.87,33.8,32.69,10.3,28.4,NA,15.5,NA,99,108,0.42679,NA,7.43834,NA,0.13065,NA,0.63583,NA,27.5,6.7,177,54.7,NA,75.6,76.8,1.48,NA,756,17,0.591633816,9.1,9.4,0.99940869,22.8,26.6,13.9,NA,28.8,NA,48.4,NA,15.7,NA,6.9,NA,4.9,NA,15.94,14.97,85.4,NA,1.5,NA,7.3,NA,5.2,1123,NA,2.56,23.5,31.4,11.6,45.9,31.2,11.31,NA,12.4,NA,4.14,NA,2.2,79.4,29.8,23.03,25.23,122,199,27.05,31.31,128.33,185,0,8.71,NA
M59,M,chow,agouti,0.6952,0.8269,0.0606,0.0617,35.92,36.21,36.84,37.44,38.71,40.36,42.58,42.94,42.45,40.68,39.17,10.1,29.2,28.6,15.3,15.7,113,157,0.27715,0.90375,9.5677,7.6397,0.2892,0.39765,1.81955,3.04865,18.9,18.1,200,52.5,55,81.9,112.8,1.62,1.72,672,23.8,4.272255912,9.6,10,5.769110692,27.4,31.2,13.7,14,29.4,28.8,46.5,48.7,15.5,15.8,6.4,6.9,2.3,7.5,22,15.14,79.4,63.4,2.4,3.3,15.1,25.3,5.4,1526,1437,7.02,19.6,27.7,11.8,48.1,33.2,11.3,11.29,13.4,14.5,4.03,4.97,3.46,89.5,34.2,26.35,27.55,221,272,35.05,36.67,42.36,37,0.97,12.05,10.09
M60,M,chow,black,0.5692,0.7421,0.0566,0.0542,32.23,33.39,33,35.59,36.75,36.96,39.04,38.99,38.58,36.6,37.4,10.2,28.4,26.4,15.4,16.6,107,123,0.14297,0.73167,7.36716,5.26466,0.18502,0.24389,0.65598,2.07727,44.2,16.9,170,54.1,62.9,77.5,89.9,1.56,1.73,690,41.9,2.660713502,9.4,9.7,7.148652897,25.7,30.8,15.9,15.8,29,27.3,54.9,57.8,15.7,17.2,6.5,6.1,1.7,8.7,21.04,13.3,87.6,62.6,2.2,2.9,7.8,24.7,5.5,1230,924,15.79,19.6,26.9,10.5,45.8,35.9,9.85,10.88,12.5,15.8,4.13,7.1,4.82,87.3,32.8,25.27,27.97,64,139,32.51,35.54,7.59,7,0.39,8.41,5.63
M61,M,chow,agouti,0.6576,0.6777,0.0566,0.0597,33.56,33.83,34.37,35.8,37.11,37.68,39.17,38.39,39.05,39.51,39.84,9.3,29.2,28.2,16.7,16.8,105,124,0.23142,0.31122,6.08874,6.6633,0.21546,0.13566,1.3965,0.82194,3.8,4.8,151,57.4,59.7,79.7,97.1,1.5,1.44,NA,NA,3.961193426,9.5,10,9.878861734,25.4,28.3,15.2,15.2,29.7,28.9,51.2,52.7,17.1,17.2,7.2,7.6,2.9,3.9,23.4,25.36,76.3,83.5,2.7,1.7,17.5,10.3,6.4,1430,1137,NA,NA,NA,NA,NA,NA,11.21,11.34,11.9,11.1,2.78,2.04,NA,NA,NA,26.55,29.15,116,240,33.05,37.89,128.25,156,0.15,7.98,6.69
M62,M,chow,agouti,0.6201,0.649,0.0573,0.058,32.18,34.11,34.16,36.12,36.1,33.9,37.68,38.68,37.74,39.68,38.54,9.7,28.8,28.7,16.5,16.6,101,108,0.10978,0.2495,8.39318,8.4331,0.18962,0.21956,1.18762,1.00798,9.5,9.1,190,57.1,57.8,70.1,86.4,1.48,1.44,NA,NA,20.00353302,9.6,9.6,13.02719604,24.8,27.9,14.1,14.2,29.6,29.1,47.7,48.7,16.9,16.9,6.5,7,1.1,2.5,20.78,24.88,84.1,84.5,1.9,2.2,11.9,10.1,6.1,1479,1286,NA,NA,NA,NA,NA,NA,11.97,11.87,12.4,12.5,2.58,1.62,NA,NA,NA,24.71,27.73,202,176,31.27,37.12,107.12,116,0,9.98,8.23
